block_number,sender,to,amount0,amount1,timestamps
23489587,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,87433826960543642,787513253767056685,1641667517
23506500,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,553456131092637192999,5376381914710273524763,1641706581
23577674,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,2004100498203578169,24073846565933842410,1641867188
23800934,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,9909932156177570133,36678628787697390607,1642367276
23827620,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,39345768509578715477,139144216339187898951,1642425919
23846899,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0E004695B4407149d4F0c98f9EB30fd4B6508F13,139497700550910960,671563007372097527,1642467556
23856584,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,28294640472318392577,161423622015227868099,1642488478
24019062,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,994441962905639122,5225759617338421345,1642840210
24066870,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,447553730532534851,4369734749876538795,1642944594
25633692,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,1075042341774029482,9902322956827737558,1646541256
