block_number,sender,to,amount0,amount1,timestamps
23216176,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,99312454464102488505333,2271,1641027391
25122565,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,98337362176942457824,208145,1645291687
25123800,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,33810758991585694546,284799,1645294490
25127486,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,289385701643049633416,1507500,1645302662
25129560,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,452198334323974012820,170453,1645306945
25133904,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,104833743480504334098,155928,1645316071
25135702,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,28866634986271353923,82386,1645320043
25145442,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,232315965319961740734,444006,1645341621
25148048,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,383806364121861037080,73473,1645347435
25387548,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,1168470527358187362425,6971,1645969303
25414786,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47e773a5A7aDf8078F04faCb99966Fab65Baad1b,179240414505610129304,1069,1646037044
